ID,Score,Income,Mother_edu,Father_edu,Mother_Prof,Father_Prof,Type_1,Type_2,Students
1,551.5625,3.328125,4.642857143,5.125,3.363636364,3.461538462,Private,Private,451
2,520.3125,2,3.666666667,4.5,3.666666667,3.333333333,Private,Private,122
3,599.8181819,3.363636364,4.6,5.636363636,3.727272727,3.636363636,Private,Private,271
4,588.1875,12.70833333,6.416666667,6.5,4.666666667,4.727272727,Private,Private,152
5,642.8134191,5.162224265,5,5.17877095,3.536734694,3.222453222,Public,Federal,1291
6,632.7601351,4.388513514,4.808219178,4.945945946,3.309859155,2.96969697,Public,Federal,279
7,545.1346154,3.826923077,4.423076923,4.884615385,3.666666667,3.2,Private,Private,921
8,577,6.375,4.555555556,5.411764706,3.529411765,3.214285714,Private,Private,490
9,619.0520833,9.9375,5.47826087,5.916666667,4.136363636,3.666666667,Private,Private,471
10,586.5625,13.5,6.666666667,6,4.666666667,4,Private,Private,85
11,570.9903846,5.673076923,5.272727273,5.04,3.625,3.7,Private,Private,405
12,541.0555555,4.972222222,5.125,4.625,3.428571429,2.75,Private,Private,290
13,631.0931373,7.529411765,5.125,5.66,4,3.897959184,Private,Private,116
14,628.675,6.9125,5.236842105,5.575,4.184210526,3.605263158,Private,Private,466
15,621.8983051,8.987288136,5.543103448,5.75862069,4.203539823,3.914285714,Private,Private,827
16,612.9318182,6.301136364,5.102564103,5.363636364,3.722222222,3.368421053,Private,Private,586
17,557.7247706,6.286697248,5.32038835,5.653465347,3.98019802,3.734693878,Private,Private,537
18,552.2933884,5.731404959,5.330434783,5.605042017,3.657407407,3.490740741,Private,Private,508
19,609.3412698,7.956349206,5.5,5.888888889,4.122807018,3.982758621,Private,Private,1183
20,607.6953125,15.5859375,6.28125,6.0625,4.75,4.193548387,Private,Private,306
21,546.5357143,2.583333333,4.3,4.857142857,3.352941176,2.888888889,Private,Private,313
22,593.0681818,5.579545455,5.285714286,5.227272727,3.666666667,3.368421053,Private,Private,571
23,642.2297297,10.61486486,6.277777778,6,4.555555556,4.194444444,Private,Private,807
24,614.0535715,7.238095238,5.5,5.571428571,4.073170732,3.611111111,Private,Private,780
25,626.5673077,6.836538462,5.75,5.68,4.208333333,3.954545455,Private,Private,425
26,515.725,10.5,6.1,5.6,4.7,3.888888889,Private,Private,60
27,512.3815789,4.25,4.888888889,5.611111111,3.75,3.470588235,Private,Private,42
28,603.875,6.916666667,5.5,5.666666667,4.666666667,4.333333333,Private,Private,224
